Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
2025-03-14,2025,3,14,Friday,10,2025-10,600.37,606.4,592.38,605.15,12364500,0.029629729631495128,631.5057142857142,652.8014285714286
2025-03-17,2025,3,17,Monday,11,2025-11,605.01,610.63,595.59,602.46,15473900,-0.004443674325006919,627.8050000000001,651.7946
2025-03-18,2025,3,18,Tuesday,11,2025-11,597.63,597.83,572.34,580.01,20297700,-0.03726236511861858,621.3492857142858,651.469
2025-03-19,2025,3,19,Wednesday,11,2025-11,581.92,589.93,572.45,581.7,20537500,0.002919212905865498,616.1135714285714,651.0698
2025-03-20,2025,3,20,Thursday,11,2025-11,580.41,607.74,577.17,583.64,24336500,0.0033214960792264936,610.3085714285714,650.2006
2025-03-21,2025,3,21,Friday,11,2025-11,581.07,595.13,578.61,593.85,25015900,0.017491605838385604,606.1671428571428,649.7805999999999
2025-03-24,2025,3,24,Monday,12,2025-12,612.49,620.03,609.73,616.35,15741300,0.037903457309122146,604.7028571428572,649.9532
2025-03-25,2025,3,25,Tuesday,12,2025-12,624.23,631.32,618.67,623.78,15312500,0.012054747584876457,602.5985714285715,650.1722
2025-03-26,2025,3,26,Wednesday,12,2025-12,622.37,624.22,604.16,608.52,12609800,-0.024476819061459265,601.4328571428572,650.2358
2025-03-27,2025,3,27,Thursday,12,2025-12,599.57,611.77,597.68,600.15,10436500,-0.013748350915047225,599.8307142857144,650.4122
2025-03-28,2025,3,28,Friday,12,2025-12,597.89,599.32,571.61,574.41,17602800,-0.042882264181107965,598.3564285714285,649.6188
2025-03-31,2025,3,31,Monday,13,2025-13,561.23,576.37,551.07,574.04,21124700,-0.0006587896673728721,596.3071428571428,648.9338
2025-04-01,2025,4,1,Tuesday,13,2025-13,568.54,587.53,567.7,583.64,12836600,0.016725468734815285,593.9592857142858,648.4114
2025-04-02,2025,4,2,Wednesday,13,2025-13,572.59,590.27,571.05,581.57,13470800,-0.0035324133804196522,593.5192857142857,647.7742
2025-04-03,2025,4,3,Thursday,13,2025-13,544.02,550.33,528.16,529.48,34777500,-0.08958261422048308,588.1142857142858,645.9552
2025-04-04,2025,4,4,Friday,13,2025-13,504.58,515.91,492.21,502.69,38589800,-0.050581139935028885,580.9878571428571,643.3426000000001
2025-04-07,2025,4,7,Monday,14,2025-14,483.14,537.19,479.96,514.17,36606100,0.022823906087131807,576.285,640.7398
2025-04-08,2025,4,8,Tuesday,14,2025-14,541.06,545.22,500.83,508.39,28034200,-0.011234755985368716,571.0485714285714,637.775
2025-04-09,2025,4,9,Wednesday,14,2025-14,507.22,585.52,500.08,583.41,39216600,0.14755597676350374,571.0321428571428,636.0229999999999
2025-04-10,2025,4,10,Thursday,14,2025-14,573.17,578.96,533.14,544.09,28173500,-0.06739841657958934,567.4778571428571,633.4416
2025-04-11,2025,4,11,Friday,14,2025-14,533.35,545.19,526.46,541.38,17642300,-0.004979069063844155,562.1228571428571,630.5968
2025-04-14,2025,4,14,Monday,15,2025-15,553.93,555.52,526.15,529.34,14130900,-0.022241771413805678,555.3771428571429,627.4678
2025-04-15,2025,4,15,Tuesday,15,2025-15,529.96,535.77,515.41,519.42,15558700,-0.018740064310224014,549.0128571428571,623.9756
2025-04-16,2025,4,16,Wednesday,15,2025-15,506.46,511.3,493.63,500.28,18735100,-0.03683477900378174,541.8792857142857,619.9666000000001
2025-04-17,2025,4,17,Thursday,15,2025-15,503.21,505.25,496.0,499.46,14593500,-0.0016521984670696543,536.5257142857142,615.9277999999999
2025-04-21,2025,4,21,Monday,16,2025-16,489.35,491.51,477.86,482.71,16166000,-0.033540784972758475,530.0021428571429,611.4122
2025-04-22,2025,4,22,Tuesday,16,2025-16,489.89,504.84,484.4,498.26,17399400,0.0322287234069456,523.9035714285714,607.1572
2025-04-23,2025,4,23,Wednesday,16,2025-16,526.4,533.18,514.44,518.17,18173900,0.03995777806646017,519.375,603.2432
2025-04-24,2025,4,24,Thursday,16,2025-16,516.64,531.75,515.41,531.0,13910000,0.024756275997599886,519.4835714285714,599.538
2025-04-25,2025,4,25,Friday,16,2025-16,544.59,547.64,534.09,545.06,17098900,0.026484097518362226,522.51,596.003
2025-04-28,2025,4,28,Monday,17,2025-17,553.4,556.24,538.41,547.52,15179000,0.0045133936574870415,524.8921428571429,592.4538
2025-04-29,2025,4,29,Tuesday,17,2025-17,543.8,554.33,541.93,552.2,11835000,0.00854946957371383,528.0214285714285,588.8368
2025-04-30,2025,4,30,Wednesday,17,2025-17,536.23,546.89,527.36,546.79,29244000,-0.00981175728606154,525.4057142857143,585.5156
2025-05-01,2025,5,1,Thursday,17,2025-17,589.69,590.56,568.2,569.9,31159000,0.042276982887499814,527.2492857142857,582.9074
2025-05-02,2025,5,2,Friday,17,2025-17,581.11,601.9,576.0,594.61,24739300,0.043358027536716026,531.0514285714286,580.9712000000001
2025-05-05,2025,5,5,Monday,18,2025-18,588.84,600.78,585.68,596.85,13887700,0.0037687876105059193,535.8735714285714,579.3044
2025-05-06,2025,5,6,Tuesday,18,2025-18,590.14,593.63,584.21,584.94,10600700,-0.01995757983998303,540.5535714285713,577.7064
2025-05-07,2025,5,7,Wednesday,18,2025-18,587.98,600.65,584.3,594.4,13139100,0.016175312215695126,547.2764285714286,576.509
2025-05-08,2025,5,8,Thursday,18,2025-18,603.84,608.83,594.21,595.6,14622800,0.0020107410662082437,554.1435714285714,575.0132
2025-05-09,2025,5,9,Friday,18,2025-18,601.29,604.52,589.32,590.1,10427300,-0.009230520132646358,561.8142857142857,573.7152000000001
2025-05-12,2025,5,12,Monday,19,2025-19,628.38,637.81,618.53,636.85,21965100,0.07922483240427436,571.7135714285715,573.154
2025-05-13,2025,5,13,Tuesday,19,2025-19,642.94,658.25,640.24,653.38,18570800,0.02596076658915214,581.3714285714286,573.185
2025-05-14,2025,5,14,Wednesday,19,2025-19,658.54,660.0,651.67,656.7,12348200,0.005075830120129243,590.35,573.582
2025-05-15,2025,5,15,Thursday,19,2025-19,651.64,654.66,636.0,641.28,14341800,-0.02347718047799019,597.222857142857,573.3428
2025-05-16,2025,5,16,Friday,19,2025-19,635.39,637.86,623.62,637.76,18519000,-0.0054979715962563125,603.6685714285715,573.6012
2025-05-19,2025,5,19,Monday,20,2025-20,625.72,640.41,625.27,637.85,9592400,0.00014058737385647113,609.7864285714286,573.9066
